,CPT_CODE_OR_OTHER,Top_25_Avg,OSHPD_NUM,Hospital_Name
OT Ther Act Ea 15,97530,$82.70,106104023,San Joaquin Rehabilitation Hospital
PT Neuro Re Ed,97112,$82.70,106104023,San Joaquin Rehabilitation Hospital
PT Ther Activity,97530,$82.70,106104023,San Joaquin Rehabilitation Hospital
PT Manual TX,97140,$82.70,106104023,San Joaquin Rehabilitation Hospital
OT Thera Ex Ea 15,97110,$82.70,106104023,San Joaquin Rehabilitation Hospital
OT Neuromsclr RE-E,97112,$82.70,106104023,San Joaquin Rehabilitation Hospital
ST Tx SP/Lng/Vce/C,92507,$221.60,106104023,San Joaquin Rehabilitation Hospital
OT SLFCR/HM  Mgmt t,97535,$99.20,106104023,San Joaquin Rehabilitation Hospital
Occupational Therapy Evaluation,97165-97167,$344.00,106104023,San Joaquin Rehabilitation Hospital
ST Speech&Lang Eva,92523,$358.30,106104023,San Joaquin Rehabilitation Hospital
Surgery Services  (CPT Codes 10021-69990),2019 CPT Code,Average Charge,106104047,Fresno Surgical Hospital
"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,"$15,491.49",106104047,Fresno Surgical Hospital
"Arthroscopy, Shoulder, with partial acromioplasty",29826,,106104047,Fresno Surgical Hospital
Carpal Tunnel Surgery,64721,"$14,786.46",106104047,Fresno Surgical Hospital
"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,"$10,978.90",106104047,Fresno Surgical Hospital
"Colonoscopy, diagnostic",45378,,106104047,Fresno Surgical Hospital
"Colonoscopy, with biopsy",45380,,106104047,Fresno Surgical Hospital
"Colonoscopy, with lesion removal, by snare technique",45385,,106104047,Fresno Surgical Hospital
"Discission, secondary membranous cataract, laser surgery",66821,"$3,248.66",106104047,Fresno Surgical Hospital
"Endoscopy, Upper GI, with biopsy",43239,,106104047,Fresno Surgical Hospital
"Endoscopy, Upper GI, diagnostic",43235,,106104047,Fresno Surgical Hospital
"Excision, Breast Lesion",19120,,106104047,Fresno Surgical Hospital
"Hernia Repair, Inguinal, 5 years and older",49505,,106104047,Fresno Surgical Hospital
"Injection, Diagnostic or Therapeutic substance, epidural",62311,,106104047,Fresno Surgical Hospital
"Injection, Anesthetic or Steroid, transforaminal epidural",64483,"$6,556.48",106104047,Fresno Surgical Hospital
Laparoscopic Cholecystectomy,47562,,106104047,Fresno Surgical Hospital
"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,,106104047,Fresno Surgical Hospital
"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,,106104047,Fresno Surgical Hospital
Other Common Outpatient Procedures (list as needed),2019 CPT Code,Average Charge,106104047,Fresno Surgical Hospital
"Arthrocentesis, aspiration and/or injection, major joint or bursa (eg, shoulder, hip, knee, subacromial bursa); without ultrasound guidance",20610,,106104047,Fresno Surgical Hospital
"Removal of implant; deep (eg, buried wire, pin, screw, metal band, nail, rod or plate) ",20680,,106104047,Fresno Surgical Hospital
"Repair of ruptured musculotendinous cuff (eg, rotator cuff) open; chronic",23412,,106104047,Fresno Surgical Hospital
"Injection procedure for sacroiliac joint, anesthetic/steroid, with image guidance (fluoroscopy or CT) including arthrography when performed",27096,"$6,400.52",106104047,Fresno Surgical Hospital
"Correction, hallux valgus (bunion), with or without sesamoidectomy; with metatarsal osteotomy (eg, Mitchell, Chevron, or concentric type procedures) ",28296,,106104047,Fresno Surgical Hospital
"Arthroscopy, shoulder, surgical; debridement, limited ",29822,,106104047,Fresno Surgical Hospital
"Arthroscopy, shoulder, surgical; debridement, extensive ",29823,,106104047,Fresno Surgical Hospital
"Arthroscopy, shoulder, surgical; distal claviculectomy including distal articular surface (Mumford procedure)",29824,,106104047,Fresno Surgical Hospital
"Arthroscopy, knee, surgical; synovectomy, major, 2 or more compartments (eg, medial or lateral)",29876,"$15,951.44",106104047,Fresno Surgical Hospital
"Arthroscopy, knee, surgical; with meniscectomy (medial AND lateral, including any meniscal shaving)",29880,"$15,591.72",106104047,Fresno Surgical Hospital
Arthroscopically aided anterior cruciate ligament repair/augmentation or reconstruction ,29888,"$30,784.96",106104047,Fresno Surgical Hospital
"Arthroscopy, hip, surgical; with femoroplasty (ie, treatment of cam lesion)",29914,,106104047,Fresno Surgical Hospital
"Lithotripsy, extracorporeal shock wave ",50590,"$15,850.15",106104047,Fresno Surgical Hospital
"Cystourethroscopy, with ureteroscopy and/or pyeloscopy; with lithotripsy (ureteral catheterization is included)",52353,,106104047,Fresno Surgical Hospital
"Cystourethroscopy, with ureteroscopy and/or pyeloscopy; with lithotripsy including insertion of indwelling ureteral stent (eg, Gibbons or double-J type)",52356,"$17,966.78",106104047,Fresno Surgical Hospital
"Hysteroscopy, surgical; with sampling (biopsy) of endometrium and/or polypectomy, with or without D & C ",58558,,106104047,Fresno Surgical Hospital
"Repair of retinal detachment; with vitrectomy, any method, including, when performed, air or gas tamponade, focal endolaser photocoagulation, cryotherapy, drainage of subretinal fluid, scleral buckling, and/or removal of lens by same technique",67108,"$13,700.56",106104047,Fresno Surgical Hospital
"Extracapsular cataract removal with insertion of intraocular lens prosthesis (1-stage procedure), manual or mechanical technique (eg, irrigation and aspiration or phacoemulsification), complex, requiring devices or techniques not generally used in routine cataract surgery (eg, iris expansion device, suture support for intraocular lens, or primary posterior capsulorrhexis) or performed on patients in the amblyogenic developmental stage",66982,"$11,630.78",106104047,Fresno Surgical Hospital
"Insertion or replacement of spinal neurostimulator pulse generator or receiver, direct or inductive coupling",63685,,106104047,Fresno Surgical Hospital
"Destruction by neurolytic agent, paravertebral facet joint nerve(s), with imaging guidance (fluoroscopy or CT); cervical or thoracic, single facet joint",64633,,106104047,Fresno Surgical Hospital
Trabeculoplasty by laser surgery,65855,"$3,181.01",106104047,Fresno Surgical Hospital
"Injection(s), of diagnostic or therapeutic substance(s) (eg, anesthetic, antispasmodic, opioid, steroid, other solution), not including neurolytic substances, including needle or catheter placement, interlaminar epidural or subarachnoid, cervical or thoracic; with imaging guidance (ie, fluoroscopy or CT)",62321,"$5,185.95",106104047,Fresno Surgical Hospital
"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",27447,"$42,877.38",106104047,Fresno Surgical Hospital
"Hysteroscopy, surgical; with endometrial ablation (eg, endometrial resection, electrosurgical ablation, thermoablation) ",58563,,106104047,Fresno Surgical Hospital
Excision or transposition of pterygium; with graft,65426,"$10,877.91",106104047,Fresno Surgical Hospital
"Iridotomy/iridectomy by laser surgery (eg, for glaucoma) (per session)",66761,"$3,214.09",106104047,Fresno Surgical Hospital
"Arthroscopy, shoulder, surgical; with rotator cuff repair",29827,"$28,297.04",106104047,Fresno Surgical Hospital
"Tendon sheath incision (eg, for trigger finger)",26055,,106104047,Fresno Surgical Hospital
"Vitrectomy, mechanical, pars plana approach; with endolaser panretinal photocoagulation",67040,"$11,802.29",106104047,Fresno Surgical Hospital
"Injection, single (not via indwelling catheter), not including neurolytic substances, with or without contrast (for either localization or epidurography), of diagnostic or therapeutic substance(s) (including anesthetic, antispasmodic, opioid, steroid, other solution), epidural or subarachnoid; cervical or thoracic ",62310,,106104047,Fresno Surgical Hospital
"Percutaneous implantation of neurostimulator electrode array, epidural",63650,,106104047,Fresno Surgical Hospital
"Injection(s), diagnostic or therapeutic agent, paravertebral facet (zygapophyseal) joint (or nerves innervating that joint) with image guidance (fluoroscopy or ",64490,"$11,390.94",106104047,Fresno Surgical Hospital
"Injection(s), diagnostic or therapeutic agent, paravertebral facet (zygapophyseal) joint (or nerves innervating that joint) with image guidance (fluoroscopy or CT), lumbar or sacral; single level ",64493,"$14,127.30",106104047,Fresno Surgical Hospital
"Destruction by neurolytic agent, paravertebral facet joint nerve(s), with imaging guidance (fluoroscopy or CT); lumbar or sacral, single facet joint",64635,"$11,294.73",106104047,Fresno Surgical Hospital
"Vitrectomy, mechanical, pars plana approach; with removal of preretinal cellular membrane (eg, macular pucker)",67041,"$12,045.73",106104047,Fresno Surgical Hospital
"Repair of complex retinal detachment (eg, proliferative vitreoretinopathy, stage C-1 or greater, diabetic traction retinal detachment, retinopathy of prematurity, retinal tear of greater than 90 degrees), with vitrectomy and membrane peeling, may include air, gas, or silicone oil tamponade, cryotherapy, endolaser photocoagulation, drainage of subretinal fluid, scleral buckling, and/or removal of lens",67113,"$16,896.81",106104047,Fresno Surgical Hospital
Evaluation & Management Services (CPT Codes 99201-99499),2019 CPT Code,Average Charge,106121031,Jerold Phelps Hospital
"Emergency Room Visit, Level 2 (low to moderate severity)",99282,"$1,105.55",106121031,Jerold Phelps Hospital
"Emergency Room Visit, Level 3 (moderate severity)",99283,"$2,067.25",106121031,Jerold Phelps Hospital
"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,"$3,008.80",106121031,Jerold Phelps Hospital
"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,"$5,447.95",106121031,Jerold Phelps Hospital
"Outpatient Visit, established patient, 15 minutes",99213,$242.80,106121031,Jerold Phelps Hospital
Laboratory & Pathology Services (CPT Codes 80047-89398),2019 CPT Code,Average Charge,106121031,Jerold Phelps Hospital
Basic Metabolic Panel,80048,$179.80,106121031,Jerold Phelps Hospital
"Blood Gas Analysis, including 02 saturation",82805,,106121031,Jerold Phelps Hospital
"Complete Blood Count, automated",85027,$129.35,106121031,Jerold Phelps Hospital
"Complete Blood Count, with differential WBC, automated",85025,$163.00,106121031,Jerold Phelps Hospital
Comprehensive Metabolic Panel,80053,$213.50,106121031,Jerold Phelps Hospital
"Creatine Kinase (CK), (CPK), Total",82550,$143.95,106121031,Jerold Phelps Hospital
Lipid Panel,80061,$232.60,106121031,Jerold Phelps Hospital
Partial Thromboplastin Time,85730,$195.55,106121031,Jerold Phelps Hospital
Prothrombin Time,85610,$172.00,106121031,Jerold Phelps Hospital
Thyroid Stimulating Hormone,84443,$309.05,106121031,Jerold Phelps Hospital
"Troponin, Quantitative",84484,$350.60,106121031,Jerold Phelps Hospital
"Urinalysis, without microscopy",81002 or 81003,$27.00,106121031,Jerold Phelps Hospital
"Urinalysis, with microscopy",81000 or 81001,$61.85,106121031,Jerold Phelps Hospital
Radiology Services  (CPT Codes 70010-79999),2018 CPT Code,Average Charge,106121031,Jerold Phelps Hospital
"CT Scan, Abdomen, with contrast",74160,"$1,800.00",106121031,Jerold Phelps Hospital
"CT Scan, Head or Brain, without contrast",70450,$810.00,106121031,Jerold Phelps Hospital
"CT Scan, Pelvis, with contrast",72193,"$1,800.00",106121031,Jerold Phelps Hospital
"Mammography, Screening, Bilateral",77067,$333.20,106121031,Jerold Phelps Hospital
"MRI, Brain, without contrast, followed by contrast",70553,,106121031,Jerold Phelps Hospital
"Ultrasound, Abdomen, Complete",76700,,106121031,Jerold Phelps Hospital
"Ultrasound, OB, 14 weeks or more, transabdominal",76805,,106121031,Jerold Phelps Hospital
"X-Ray, Lower Back, minimum four views",72110,$296.85,106121031,Jerold Phelps Hospital
"X-Ray, Chest, two views",71046,155..30,106121031,Jerold Phelps Hospital
Medicine Services  (CPT Codes 90281-99607),2019 CPT Code,Average Charge,106121031,Jerold Phelps Hospital
"Cardiac Catheterization, Left Heart, percutaneous ",93452,,106121031,Jerold Phelps Hospital
"Echocardiography, Transthoracic, complete, without Doppler",93307,,106121031,Jerold Phelps Hospital
"Electrocardiogram, routine, with interpretation and report",93000,,106121031,Jerold Phelps Hospital
"Inhalation Treatment, pressurized or nonpressurized",94640,,106121031,Jerold Phelps Hospital
"Physical Therapy, Evaluation",97161-97163,,106121031,Jerold Phelps Hospital
"Physical Therapy, Gait Training",97116,$82.15,106121031,Jerold Phelps Hospital
"Physical Therapy, Therapeutic Exercise",97110,$93.35,106121031,Jerold Phelps Hospital
Surgery Services  (CPT Codes 10021-69990),2019 CPT Code,Average Charge,106121031,Jerold Phelps Hospital
"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,,106121031,Jerold Phelps Hospital
"Arthroscopy, Shoulder, with partial acromioplasty",29826,,106121031,Jerold Phelps Hospital
Carpal Tunnel Surgery,64721,,106121031,Jerold Phelps Hospital
"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,,106121031,Jerold Phelps Hospital
"Colonoscopy, diagnostic",45378,,106121031,Jerold Phelps Hospital
"Colonoscopy, with biopsy",45380,,106121031,Jerold Phelps Hospital
"Colonoscopy, with lesion removal, by snare technique",45385,,106121031,Jerold Phelps Hospital
"Discission, secondary membranous cataract, laser surgery",66821,,106121031,Jerold Phelps Hospital
"Endoscopy, Upper GI, with biopsy",43239,,106121031,Jerold Phelps Hospital
"Endoscopy, Upper GI, diagnostic",43235,,106121031,Jerold Phelps Hospital
"Excision, Breast Lesion, without preoperative radiological marker",19120,,106121031,Jerold Phelps Hospital
"Hernia Repair, Inguinal, 5 years and older",49505,,106121031,Jerold Phelps Hospital
"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322-62323,,106121031,Jerold Phelps Hospital
"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,,106121031,Jerold Phelps Hospital
Laparoscopic Cholecystectomy,47562,,106121031,Jerold Phelps Hospital
"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,,106121031,Jerold Phelps Hospital
"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,,106121031,Jerold Phelps Hospital
Evaluation & Management Services (CPT Codes 99201-99499),2019 CPT Code,Average Charge,106121051,Redwood Memorial Hospital
"Emergency Room Visit, Level 2 (low to moderate severity)",99282,"$1,162.00",106121051,Redwood Memorial Hospital
"Emergency Room Visit, Level 3 (moderate severity)",99283,"$2,171.00",106121051,Redwood Memorial Hospital
"Emergency Room Visit, Level 4 (high severity)",99284,"$3,160.00",106121051,Redwood Memorial Hospital
"Outpatient Visit, established patient, 15 minutes",99213,$913.00,106121051,Redwood Memorial Hospital
Laboratory & Pathology Services (CPT Codes 80047-89398),2019 CPT Code,Average Charge,106121051,Redwood Memorial Hospital
Basic Metabolic Panel,80048,$102.40,106121051,Redwood Memorial Hospital
"Blood Gas Analysis, including 02 saturation",82805,$310.90,106121051,Redwood Memorial Hospital
"Complete Blood Count, automated",85027,$78.30,106121051,Redwood Memorial Hospital
"Complete Blood Count, with differential WBC, automated",85025,$94.10,106121051,Redwood Memorial Hospital
Comprehensive Metabolic Panel,80053,$128.00,106121051,Redwood Memorial Hospital
"Creatine Kinase (CK), (CPK), Total",82550,$72.60,106121051,Redwood Memorial Hospital
Lipid Panel,80061,$162.00,106121051,Redwood Memorial Hospital
Partial Thromboplastin Time,85730,$72.60,106121051,Redwood Memorial Hospital
Prothrombin Time,85610,$47.60,106121051,Redwood Memorial Hospital
Thyroid Stimulating Hormone,84443,$185.80,106121051,Redwood Memorial Hospital
"Troponin, Quantitative",84484,$210.90,106121051,Redwood Memorial Hospital
"Urinalysis, without microscopy",81002 or 81003,$25.50,106121051,Redwood Memorial Hospital
"Urinalysis, with microscopy",81000 or 81001,$37.10,106121051,Redwood Memorial Hospital
Radiology Services  (CPT Codes 70010-79999),2019 CPT Code,Average Charge,106121051,Redwood Memorial Hospital
"CT Scan, Abdomen, with contrast",74160,"$2,281.00",106121051,Redwood Memorial Hospital
"CT Scan, Head or Brain, without contrast",70450,"$1,646.00",106121051,Redwood Memorial Hospital
"CT Scan, Pelvis, with contrast",72193,"$2,278.00",106121051,Redwood Memorial Hospital
"Mammography, Screening, Bilateral",77067,$476.00,106121051,Redwood Memorial Hospital
"MRI, Head or Brain, without contrast, followed by contrast",70553,"$6,070.00",106121051,Redwood Memorial Hospital
"Ultrasound, Abdomen, Complete",76700,$694.00,106121051,Redwood Memorial Hospital
"Ultrasound, OB, 14 weeks or more, transabdominal",76805,$721.00,106121051,Redwood Memorial Hospital
"X-Ray, Lower Back, four views",72110,$321.00,106121051,Redwood Memorial Hospital
"X-Ray, Chest, two views",71046,$238.00,106121051,Redwood Memorial Hospital
Medicine Services  (CPT Codes 90281-99607),2019 CPT Code,Average Charge,106121051,Redwood Memorial Hospital
"Cardiac Catheterization, Left Heart, percutaneous ",93452,,106121051,Redwood Memorial Hospital
"Echocardiography, Transthoracic, complete",93307,,106121051,Redwood Memorial Hospital
"Electrocardiogram, routine, with interpretation and report",93000,,106121051,Redwood Memorial Hospital
"Inhalation Treatment, pressurized or nonpressurized",94640,,106121051,Redwood Memorial Hospital
"Physical Therapy, Evaluation",97161-97163,,106121051,Redwood Memorial Hospital
"Physical Therapy, Gait Training",97116,,106121051,Redwood Memorial Hospital
"Physical Therapy, Therapeutic Exercise",97110,,106121051,Redwood Memorial Hospital
Surgery Services  (CPT Codes 10021-69990),2019 CPT Code,Average Charge,106121051,Redwood Memorial Hospital
"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,,106121051,Redwood Memorial Hospital
"Arthroscopy, Shoulder, with partial acromioplasty",29826,,106121051,Redwood Memorial Hospital
Carpal Tunnel Surgery,64721,,106121051,Redwood Memorial Hospital
"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,,106121051,Redwood Memorial Hospital
"Colonoscopy, diagnostic",45378,,106121051,Redwood Memorial Hospital
"Colonoscopy, with biopsy",45380,,106121051,Redwood Memorial Hospital
"Colonoscopy, with lesion removal, by snare technique",45385,,106121051,Redwood Memorial Hospital
"Discission, secondary membranous cataract, laser surgery",66821,,106121051,Redwood Memorial Hospital
"Endoscopy, Upper GI, with biopsy",43239,,106121051,Redwood Memorial Hospital
"Endoscopy, Upper GI, diagnostic",43235,,106121051,Redwood Memorial Hospital
"Excision, Breast Lesion, without preoperative radiological marker",19120,,106121051,Redwood Memorial Hospital
"Hernia Repair, Inguinal, 5 years and older",49505,,106121051,Redwood Memorial Hospital
"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322-62323,,106121051,Redwood Memorial Hospital
"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,,106121051,Redwood Memorial Hospital
Laparoscopic Cholecystectomy,47562,,106121051,Redwood Memorial Hospital
"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,,106121051,Redwood Memorial Hospital
"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,,106121051,Redwood Memorial Hospital
Evaluation & Management Services (CPT Codes 99201-99499),2019 CPT Code,Average Charge,106121080, St. Joseph Hospital - Eureka
"Emergency Room Visit, Level 2 (low to moderate severity)",99282,"$1,166.00",106121080, St. Joseph Hospital - Eureka
"Emergency Room Visit, Level 3 (moderate severity)",99283,"$2,178.00",106121080, St. Joseph Hospital - Eureka
"Emergency Room Visit, Level 4 (high severity)",99284,"$3,172.00",106121080, St. Joseph Hospital - Eureka
"Outpatient Visit, established patient, 15 minutes",99213,$861.00,106121080, St. Joseph Hospital - Eureka
Laboratory & Pathology Services (CPT Codes 80047-89398),2019 CPT Code,Average Charge,106121080, St. Joseph Hospital - Eureka
Basic Metabolic Panel,80048,$102.40,106121080, St. Joseph Hospital - Eureka
"Blood Gas Analysis, including 02 saturation",82805,$310.80,106121080, St. Joseph Hospital - Eureka
"Complete Blood Count, automated",85027,$78.30,106121080, St. Joseph Hospital - Eureka
"Complete Blood Count, with differential WBC, automated",85025,$94.10,106121080, St. Joseph Hospital - Eureka
Comprehensive Metabolic Panel,80053,$128.00,106121080, St. Joseph Hospital - Eureka
"Creatine Kinase (CK), (CPK), Total",82550,$72.40,106121080, St. Joseph Hospital - Eureka
Lipid Panel,80061,$162.00,106121080, St. Joseph Hospital - Eureka
Partial Thromboplastin Time,85730,$72.60,106121080, St. Joseph Hospital - Eureka
Prothrombin Time,85610,$47.60,106121080, St. Joseph Hospital - Eureka
Thyroid Stimulating Hormone,84443,$185.80,106121080, St. Joseph Hospital - Eureka
"Troponin, Quantitative",84484,$183.90,106121080, St. Joseph Hospital - Eureka
"Urinalysis, without microscopy",81002 or 81003,$25.50,106121080, St. Joseph Hospital - Eureka
"Urinalysis, with microscopy",81000 or 81001,$37.10,106121080, St. Joseph Hospital - Eureka
Radiology Services  (CPT Codes 70010-79999),2019 CPT Code,Average Charge,106121080, St. Joseph Hospital - Eureka
"CT Scan, Abdomen, with contrast",74160,"$2,175.00",106121080, St. Joseph Hospital - Eureka
"CT Scan, Head or Brain, without contrast",70450,"$1,653.00",106121080, St. Joseph Hospital - Eureka
"CT Scan, Pelvis, with contrast",72193,"$2,172.00",106121080, St. Joseph Hospital - Eureka
"Mammography, Screening, Bilateral",77067,$476.00,106121080, St. Joseph Hospital - Eureka
"MRI, Head or Brain, without contrast, followed by contrast",70553,"$7,141.00",106121080, St. Joseph Hospital - Eureka
"Ultrasound, Abdomen, Complete",76700,$697.00,106121080, St. Joseph Hospital - Eureka
"Ultrasound, OB, 14 weeks or more, transabdominal",76805,$724.00,106121080, St. Joseph Hospital - Eureka
"X-Ray, Lower Back, four views",72110,$323.00,106121080, St. Joseph Hospital - Eureka
"X-Ray, Chest, two views",71046,$237.00,106121080, St. Joseph Hospital - Eureka
Medicine Services  (CPT Codes 90281-99607),2019 CPT Code,Average Charge,106121080, St. Joseph Hospital - Eureka
"Cardiac Catheterization, Left Heart, percutaneous ",93452,,106121080, St. Joseph Hospital - Eureka
"Echocardiography, Transthoracic, complete",93307,,106121080, St. Joseph Hospital - Eureka
"Electrocardiogram, routine, with interpretation and report",93000,,106121080, St. Joseph Hospital - Eureka
"Inhalation Treatment, pressurized or nonpressurized",94640,,106121080, St. Joseph Hospital - Eureka
"Physical Therapy, Evaluation",97161-97163,,106121080, St. Joseph Hospital - Eureka
"Physical Therapy, Gait Training",97116,,106121080, St. Joseph Hospital - Eureka
"Physical Therapy, Therapeutic Exercise",97110,,106121080, St. Joseph Hospital - Eureka
Surgery Services  (CPT Codes 10021-69990),2019 CPT Code,Average Charge,106121080, St. Joseph Hospital - Eureka
"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,,106121080, St. Joseph Hospital - Eureka
"Arthroscopy, Shoulder, with partial acromioplasty",29826,,106121080, St. Joseph Hospital - Eureka
Carpal Tunnel Surgery,64721,,106121080, St. Joseph Hospital - Eureka
"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,,106121080, St. Joseph Hospital - Eureka
"Colonoscopy, diagnostic",45378,,106121080, St. Joseph Hospital - Eureka
"Colonoscopy, with biopsy",45380,,106121080, St. Joseph Hospital - Eureka
"Colonoscopy, with lesion removal, by snare technique",45385,,106121080, St. Joseph Hospital - Eureka
"Discission, secondary membranous cataract, laser surgery",66821,,106121080, St. Joseph Hospital - Eureka
"Endoscopy, Upper GI, with biopsy",43239,,106121080, St. Joseph Hospital - Eureka
"Endoscopy, Upper GI, diagnostic",43235,,106121080, St. Joseph Hospital - Eureka
"Excision, Breast Lesion, without preoperative radiological marker",19120,,106121080, St. Joseph Hospital - Eureka
"Hernia Repair, Inguinal, 5 years and older",49505,,106121080, St. Joseph Hospital - Eureka
"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322-62323,,106121080, St. Joseph Hospital - Eureka
"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,,106121080, St. Joseph Hospital - Eureka
Laparoscopic Cholecystectomy,47562,,106121080, St. Joseph Hospital - Eureka
"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,,106121080, St. Joseph Hospital - Eureka
"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,,106121080, St. Joseph Hospital - Eureka
Evaluation & Management Services (CPT Codes 99201-99499),2018 CPT Code,Average Charge,106130699, El Centro Regional Medical Center
"Emergency Room Visit, Level 2 (low to moderate severity)",99282,$580.00,106130699, El Centro Regional Medical Center
"Emergency Room Visit, Level 3 (moderate severity)",99283,"$1,192.00",106130699, El Centro Regional Medical Center
"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,"$1,843.00",106130699, El Centro Regional Medical Center
"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,"$2,804.00",106130699, El Centro Regional Medical Center
"Outpatient Visit, established patient, 15 minutes",99213,$164.00,106130699, El Centro Regional Medical Center
Laboratory & Pathology Services (CPT Codes 80047-89398),2018 CPT Code,Average Charge,106130699, El Centro Regional Medical Center
Basic Metabolic Panel,80048,$252.00,106130699, El Centro Regional Medical Center
"Blood Gas Analysis, including 02 saturation",82805,$780.00,106130699, El Centro Regional Medical Center
"Complete Blood Count, automated",85027,$105.00,106130699, El Centro Regional Medical Center
"Complete Blood Count, with differential WBC, automated",85025,$134.00,106130699, El Centro Regional Medical Center
Comprehensive Metabolic Panel,80053,$298.00,106130699, El Centro Regional Medical Center
"Creatine Kinase (CK), (CPK), Total",82550,$165.00,106130699, El Centro Regional Medical Center
Lipid Panel,80061,$255.00,106130699, El Centro Regional Medical Center
Partial Thromboplastin Time,85730,$191.00,106130699, El Centro Regional Medical Center
Prothrombin Time,85610,$91.00,106130699, El Centro Regional Medical Center
Thyroid Stimulating Hormone,84443,$290.00,106130699, El Centro Regional Medical Center
"Troponin, Quantitative",84484,$283.00,106130699, El Centro Regional Medical Center
"Urinalysis, without microscopy",81002 or 81003,$72.00,106130699, El Centro Regional Medical Center
"Urinalysis, with microscopy",81000 or 81001,$187.00,106130699, El Centro Regional Medical Center
Radiology Services  (CPT Codes 70010-79999),2018 CPT Code,Average Charge,106130699, El Centro Regional Medical Center
"CT Scan, Abdomen, with contrast",74160,"$4,039.00",106130699, El Centro Regional Medical Center
"CT Scan, Head or Brain, without contrast",70450,"$3,116.00",106130699, El Centro Regional Medical Center
"CT Scan, Pelvis, with contrast",72193,"$3,915.00",106130699, El Centro Regional Medical Center
"Mammography, Screening, Bilateral",77067,$460.00,106130699, El Centro Regional Medical Center
"MRI, Brain, without contrast, followed by contrast",70553,"$6,418.00",106130699, El Centro Regional Medical Center
"Ultrasound, Abdomen, Complete",76700,"$2,584.00",106130699, El Centro Regional Medical Center
"Ultrasound, OB, 14 weeks or more, transabdominal",76805,"$1,178.00",106130699, El Centro Regional Medical Center
"X-Ray, Lower Back, minimum four views",72110,"$1,160.00",106130699, El Centro Regional Medical Center
"X-Ray, Chest, two views",71046,$658.00,106130699, El Centro Regional Medical Center
Medicine Services  (CPT Codes 90281-99607),2018 CPT Code,Average Charge,106130699, El Centro Regional Medical Center
"Cardiac Catheterization, Left Heart, percutaneous ",93452,,106130699, El Centro Regional Medical Center
"Echocardiography, Transthoracic, complete, without Doppler",93307,"$1,898.00",106130699, El Centro Regional Medical Center
"Electrocardiogram, routine, with interpretation and report",93000,$333.00,106130699, El Centro Regional Medical Center
"Inhalation Treatment, pressurized or nonpressurized",94640,$281.00,106130699, El Centro Regional Medical Center
"Physical Therapy, Evaluation",97161-97163,$305.00,106130699, El Centro Regional Medical Center
"Physical Therapy, Gait Training",97116,$149.00,106130699, El Centro Regional Medical Center
"Physical Therapy, Therapeutic Exercise",97110,$154.00,106130699, El Centro Regional Medical Center
Surgery Services  (CPT Codes 10021-69990),2018 CPT Code,Average Charge,106130699, El Centro Regional Medical Center
"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,,106130699, El Centro Regional Medical Center
"Arthroscopy, Shoulder, with partial acromioplasty",29826,,106130699, El Centro Regional Medical Center
Carpal Tunnel Surgery,64721,,106130699, El Centro Regional Medical Center
"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,,106130699, El Centro Regional Medical Center
"Colonoscopy, diagnostic",45378,,106130699, El Centro Regional Medical Center
"Colonoscopy, with biopsy",45380,,106130699, El Centro Regional Medical Center
"Colonoscopy, with lesion removal, by snare technique",45385,,106130699, El Centro Regional Medical Center
"Discission, secondary membranous cataract, laser surgery",66821,,106130699, El Centro Regional Medical Center
"Endoscopy, Upper GI, with biopsy",43239,,106130699, El Centro Regional Medical Center
"Endoscopy, Upper GI, diagnostic",43235,,106130699, El Centro Regional Medical Center
"Excision, Breast Lesion, without preoperative radiological marker",19120,,106130699, El Centro Regional Medical Center
