,CPT_CODE_OR_OTHER,Procedure Description,Freq,Procedure_Group_Cat,Pro_Cat
291,70250,"X-Ray, Skull Les 4 views",1,New Procedure,X-ray
292,70450,"CT Scan, Head or Brain, without contrast",291,New Procedure,CT Scan
293,70450,"CT Scan, Head, Without Contrast",1,New Procedure,CT Scan
294,70553,"MRI, Brain, without contrast, followed by contrast",179,New Procedure,MRI
295,70553,"MRI, Head or Brain, without contrast, followed by contrast",74,New Procedure,MRI
296,71010,CHEST SINGLE VW,1,New Procedure,X-ray
297,71010,CHEST X-RAY 1 VW,1,New Procedure,X-ray
298,71010,Chest x-ray 1 view frontal,1,New Procedure,X-ray
299,71010,"X-Ray, Chest, one views",2,New Procedure,X-ray
300,71020,"X-Ray, Chest, two views",288,New Procedure,X-ray
301,71020,X-Rray - Chest 2 Views,1,New Procedure,X-ray
303,71045,CHEST 1 VIEW,1,New Procedure,X-ray
304,71045,CHEST XRAY 1 VIEW,3,New Procedure,X-ray
305,71045,Chest Xray 1 view,1,New Procedure,X-ray
306,71045,"Radiologic examination, chest; single view, frontal",2,New Procedure,X-ray
307,71045,X-Ray Exam Chest 1 View,1,New Procedure,X-ray
308,71045,"X-Ray, Chest , one views",1,New Procedure,X-ray
309,71045,"X-Ray, Chest 1 view",1,New Procedure,X-ray
310,71045,"X-Ray, Chest one view",1,New Procedure,X-ray
311,71045,"X-Ray, Chest, one view",7,New Procedure,X-ray
312,71045,"X-Ray, Chest, one views",2,New Procedure,X-ray
313,71045,XR Chest 1 View (Portable),1,New Procedure,X-ray
314,71046,CHEST XRAY 2 VIEWS,1,New Procedure,X-ray
315,71046,X-Ray Exam Chest 2 View,1,New Procedure,X-ray
316,71046,"X-Ray, Chest PA & Lateral",1,New Procedure,X-ray
317,71046,"X-Ray, Chest, two views",288,New Procedure,X-ray
318,71046,"X-Ray, Chest, two views; 71020 deleted; replaced code 71046",1,New Procedure,X-ray
319,71100,"X-Ray, Ribs Unilateral 2 Views",1,New Procedure,X-ray
320,71130,W-Ray Joint 3 + V,1,New Procedure,
321,71275,CT Angiography Chest,1,New Procedure,CT Angiogram
322,72050,"X-Ray, Lower Back, minimum four views",178,New Procedure,X-ray
323,72052,X-ray exam neck spine 6/>vws,1,New Procedure,X-ray
324,72070,"Radiologic examination, spine; thoracic, 2 views",3,New Procedure,X-ray
325,72081,Spine - 1 view,1,New Procedure,
326,72082,XR Exam,1,New Procedure,X-ray
327,72100,X-ray exam Lumbosacral Spine 2/3 views,2,New Procedure,X-ray
328,72100,X-ray exam l-s spine 2/3 vws,1,New Procedure,X-ray
329,72110,"X-Ray, Lower Back, four views",75,New Procedure,X-ray
330,72110,"X-Ray, Lower Back, minimum four views",178,New Procedure,X-ray
331,72110,"X-Ray, Lumbo Sacral, four views",29,New Procedure,X-ray
332,72110,"X-Ray, Spine, Lumbosacral 4 view",1,New Procedure,X-ray
333,72110,XR SPINE LUMBAR 4 Views+,1,New Procedure,X-ray
334,72114,X-ray exam l-s spine bending,1,New Procedure,X-ray
335,72125,"CT Scan, Cervical Spine without contrast",1,New Procedure,CT Scan
336,72125,"CT Scan, Cervical Spine, without contrast",1,New Procedure,CT Scan
337,72125,Cervical Spine without contrast,1,New Procedure,
338,72148,Mri lumbar spine w/o dye,1,New Procedure,MRI
339,72170,Pelvis - 1-2 views,1,New Procedure,
340,72193,"CT Scan, Pelvis, with contrast",281,New Procedure,CT Scan
341,73030,X-ray Exam of Shoulder,2,New Procedure,X-ray
342,73070,Xray Elbow 2 Views,1,New Procedure,X-ray
343,73080,Elbow - left min 3 views,1,New Procedure,Electrocardiogram
344,73090,Forearm - right 2 views,1,New Procedure,X-ray
345,73100,Wrist - left 2 views,1,New Procedure,X-ray
346,73100,Xray Wrist 2 Views,1,New Procedure,X-ray
347,73110,Wrist - right min 3 views,1,New Procedure,X-ray
348,73110,"X-Ray, Wrist",1,New Procedure,X-ray
349,73115,X-Ray Arthrogram Wrist,1,New Procedure,X-ray
350,73130,X-Ray Exam Of Hand,1,New Procedure,X-ray
351,73130,"X-Ray, Hand",1,New Procedure,X-ray
352,73130,"X-Ray, Hand three views or more",1,New Procedure,X-ray
353,73130,X-ray Exam of Hand,2,New Procedure,X-ray
354,73140,Finger(s) - right min 2 views,1,New Procedure,X-ray
355,73140,X-Ray Exam Of Finger(s),1,New Procedure,X-ray
356,73521,"X-Ray, Hips Bilateral With Pelvis 2 Views",1,New Procedure,X-ray
357,73560,Knee left 1-2 views,1,New Procedure,
358,73560,"Radiologic examination, knee; 1 or 2 views",1,New Procedure,X-ray
359,73562,"X-Ray, Knee",1,New Procedure,X-ray
360,73562,X-ray Exam of Knee 3 views,2,New Procedure,X-ray
361,73590,Tibia/fibula - left 1 view,1,New Procedure,
362,73600,Ankle - bilateral 2 views,1,New Procedure,X-ray
363,73610,Ankle - right min 3 views,1,New Procedure,X-ray
364,73610,X-Ray Exam Of Ankle,1,New Procedure,X-ray
365,73620,Foot - bilateral 1 view,1,New Procedure,X-ray
366,73620,"Xray, Foot",1,New Procedure,X-ray
367,73630,Foot - left 3 or > views,1,New Procedure,X-ray
368,73630,X-Ray Exam Of Foot,1,New Procedure,X-ray
369,74000,"X-ray, Chest, Abdomen",1,New Procedure,X-ray
370,74018,"Abdomen one view, KUB",1,New Procedure,X-ray
371,74018,X-Ray Exam Abdomen 1 View,1,New Procedure,X-ray
372,74019,Xray Abdomen 2 View,1,New Procedure,X-ray
373,74150,"CT Scan, Abdomen, without contrast",1,New Procedure,CT Scan
374,74160,"CT Scan, Abdomen, with contrast",281,New Procedure,CT Scan
375,74174,CT Angio ABD&PELV W/O & W/DYE,1,New Procedure,CT Angiogram
376,74176,"CT Scan, Abd & Pelvis, without contrast",1,New Procedure,CT Scan
377,74176,"CT Scan, Abdomen & Pelvis without contrast",2,New Procedure,CT Scan
378,74176,"CT Scan, Abdomen and Pelvis, without contrast",1,New Procedure,CT Scan
379,74177,CT ABD & PELV,1,New Procedure,CT Scan
380,74177,"CT Scan, Abd & Pelvis, with contrast",1,New Procedure,CT Scan
381,74240,UPPER GI STOMACH W/O KUB,1,New Procedure,Endoscopy
382,74241,UPPER GI STOMACH W/KUB,1,New Procedure,Endoscopy
383,74241,"X-Ray Upper GI, with or without delayed images, with KUB",1,New Procedure,X-ray
384,74245,UPPER GI W/SMALL BOWELL,1,New Procedure,Endoscopy
385,74247,UPPER GI W/AIR W/KUB,1,New Procedure,Endoscopy
386,76536,US Exam of Head and Neck,2,New Procedure,
387,76641,Ultrasound Breast Complete,1,New Procedure,Ultrasound
388,76700,"Ultrasound, Abdomen, Complete",292,New Procedure,Ultrasound
389,76705,ULTRASOUND ABDOMEN LIMITED,1,New Procedure,Ultrasound
390,76770,Ultrasound bladder & kidneys,1,New Procedure,Ultrasound
391,76801,"Ultrasound, OB <14 weeks, single fetus",1,New Procedure,Ultrasound
392,76805,"Ultrasound, OB, 14 weeks or more, single fetus, transabdominal",28,New Procedure,Ultrasound
393,76805,"Ultrasound, OB, 14 weeks or more, transabdominal",255,New Procedure,Ultrasound
394,76813,Ultrasound 1st Trimester Fetal Nuchal Translucency Measurement; 1st Gestation,1,New Procedure,Ultrasound
395,76815,"Ultrasound, Limited (size, PL. LOC, Position)",1,New Procedure,Ultrasound
396,76815,"Ultrasound, OB, Limited Fetus",1,New Procedure,Ultrasound
397,76856,Ultrasound Pelvis Echogram Complete,1,New Procedure,Ultrasound
398,77057,MRI Breast Unilat with and without contrast,1,New Procedure,MRI
399,77057,"Mammography, Screening, Bilateral",232,New Procedure,Mammography
400,77063,Breast Tomosynthesis Bilateral,1,New Procedure,
401,77067,Mammo Screening w/CAD Bilateral,1,New Procedure,Mammography
402,77067,"Mammography, Screening, Bilateral",232,New Procedure,Mammography
403,77067,SCREENING MAMMOGRAPHY BI 2-VIEW BREAST INC CAD,6,New Procedure,Mammography
404,77067,"Screening mammography, bilateral (CAD) when performed",29,New Procedure,Mammography
405,77073,"Bone length studies (orthoroentgenogram, scanogram)",1,New Procedure,
406,77080,Dxa Bone Density Study,1,New Procedure,
407,80047,Basic Metabolic Panel,299,New Procedure,Metabolic Panel
408,80047,Basic Metabolic Panel ION,1,New Procedure,Metabolic Panel
409,80048,BASIC METABOLIC PANEL,1,New Procedure,Metabolic Panel
410,80048,Basic Metabolic Panel,299,New Procedure,Metabolic Panel
411,80053,COMP METABOLIC PANEL,1,New Procedure,Metabolic Panel
412,80053,Comprehensive Metabolic Panel,304,New Procedure,Metabolic Panel
413,80053,Metabolic Panel Complete,1,New Procedure,Metabolic Panel
414,80061,Coronary Lipid Panel,1,New Procedure,
415,80061,Lipid Panel,299,New Procedure,
416,80069,Renal Function Panel,2,New Procedure,Renal Function Panel
417,80076,HEPATIC FUNCTION PANEL,1,New Procedure,Hepatic Function Panel
418,80076,Hepatic Function Panel,1,New Procedure,Hepatic Function Panel
419,80076,Hepatic function panel,1,New Procedure,Hepatic Function Panel
420,80100,Dilantin,1,New Procedure,
421,80101,Drug Screen,2,New Procedure,
422,80164,VALPROIC ACID TOTAL,1,New Procedure,Valporic Acid
423,80164,Valporic Acid,1,New Procedure,Valporic Acid
424,80178,Assay of Lithium,1,New Procedure,
425,80178,LITHIUM,1,New Procedure,
426,80178,Lithium,2,New Procedure,
427,80299,"Quantitation of Therapeutic Drug, not elsewhere specified",1,New Procedure,
428,80307,DRUG SCREEN URINE MULT,1,New Procedure,
429,80307,"DRUG TEST(S), PRESUMPTIVE, ANY NUMBER OF DRUG CLASSES",1,New Procedure,
430,80307,Drug Screen,2,New Procedure,
431,80307,Drug Test Presumptive by Chemical Analysis,1,New Procedure,
432,80307,Drug Test Prsmv Chem Anlyzr,2,New Procedure,
433,80320,Ethanol Level,1,New Procedure,
434,80329,Acetaminophen Level,1,New Procedure,Acetaminophen Level
435,80329,Salicylate Level,1,New Procedure,
436,81000,"Urinalysis, non-automated",1,New Procedure,Urinalysis
437,81000,"Urinalysis, with microscopy",263,New Procedure,Urinalysis
438,81000,"Urinalysis, with microscopy, non-automated",1,New Procedure,Urinalysis
440,81001,Autom Urine Dip W Micro,2,New Procedure,
441,81001,Urinalysis Automated w/ Scope,1,New Procedure,Urinalysis
442,81001,"Urinalysis, with microscopy",263,New Procedure,Urinalysis
443,81001,"Urinalysis, with microscopy, automated",1,New Procedure,Urinalysis
444,81002,"Urinalysis, automated without microscopy",1,New Procedure,Urinalysis
445,81002,"Urinalysis, without microscopy",256,New Procedure,Urinalysis
446,81002,"Urinalysis, without microscopy, non-automated",1,New Procedure,Urinalysis
449,81003,"Urinalysis, without microscopy",256,New Procedure,Urinalysis
450,81003,"Urinalysis, without microscopy, automated",1,New Procedure,Urinalysis
451,81015,Microscopic exam of urine,1,New Procedure,
452,81025,"ER URINE PREGNANCY TEST,VISUAL",1,New Procedure,
453,81025,URINE PREG TEST QUAL,1,New Procedure,Pregnancy Test
454,81025,Urine Pregnancy Visual Color,2,New Procedure,Pregnancy Test
455,81025,Urine pregnancy test,1,New Procedure,Pregnancy Test
456,82040,Albumin,1,New Procedure,
457,82140,Ammonia,2,New Procedure,
458,82150,AMYLASE,2,New Procedure,Amylase
459,82150,Amylase,2,New Procedure,Amylase
460,82306,VITAMIN D 25 HYDROXY,1,New Procedure,
461,82374,Carbon dioxide (bicarbonate),1,New Procedure,
462,82550,CK (CPK) TOTAL,1,New Procedure,
463,82550,CK TOTAL,1,New Procedure,
464,82550,CK Total,1,New Procedure,
465,82550,"Creatine Kinase (CK), (CPK), Total",284,New Procedure,Creatine Kinase (CK)
466,82553,CKMB Fraction,1,New Procedure,
467,82553,CPK-MB,1,New Procedure,
468,82553,Creatine Kinase (CPK) MB Fraction Only,1,New Procedure,Creatine Kinase (CK)
469,82565,Creatinine; blood,2,New Procedure,Creatine Kinase (CK)
470,82570,CREATININE URINE,3,New Procedure,Creatine Kinase (CK)
471,82570,Creatinine; other source,1,New Procedure,Creatine Kinase (CK)
472,82607,Cyanocobalamin (Vitamin B-12),2,New Procedure,Cyanocobalamin (Vitamin B-12)
473,82607,Cyanocobalamin (vitamin b-12),1,New Procedure,Cyanocobalamin (Vitamin B-12)
474,82607,Vitamin B12,1,New Procedure,
475,82728,Ferritin,2,New Procedure,
476,82746,Folic acid; serum,2,New Procedure,
477,82784,"Gammaglobulin (immunoglobulin); IgA, IgD, IgG, IgM, each",1,New Procedure,
478,82800,"Gases, Blood, PH only",1,New Procedure,Blood Gas Analysis
479,82803,"Blood Gas Analysis, including 02 saturation",268,New Procedure,Blood Gas Analysis
480,82803,"Blood Gases, any Combination",1,New Procedure,Blood Gas Analysis
481,82803,Blood Gasses Any Combination,1,New Procedure,Blood Gas Analysis
482,82805,BLD GASES W/O,1,New Procedure,Blood Gas Analysis
483,82805,"Blood Gas Analysis, including 02 saturation",268,New Procedure,Blood Gas Analysis
484,82947,Blood glucose (sugar) level,1,New Procedure,Glucose blood test
485,82947,"Glucose; quantitative, blood (except reagent strip)",2,New Procedure,Glucose blood test
486,82948,Glucose Blood Reagent Strip,1,New Procedure,Glucose blood test
487,82950,Glucose 2 hr W Glucola,1,New Procedure,Glucose blood test
488,82962,GLUCOSE BLOOD TEST,4,New Procedure,Glucose blood test
489,82962,GLUCOSE FDA APP HOME USE,1,New Procedure,Glucose blood test
490,82962,GLUCOSE POCT,1,New Procedure,Glucose blood test
491,82962,"GLUCOSE, WHOLE BLOOD",1,New Procedure,Glucose blood test
492,82962,Glucose blood test,1,New Procedure,Glucose blood test
493,82962,"Glucose, blood by glucose monitoring device(s)",1,New Procedure,Glucose blood test
494,83036,GLYCOHEMGLOBIN,5,New Procedure,Glucose blood test
495,83036,Glycosylated Hemoglobin Test,3,New Procedure,Glucose blood test
496,83036,Glycosylated hemoglobin test,1,New Procedure,Glucose blood test
497,83036,HEMOGLOBIN GLYCATED A1C,1,New Procedure,Glucose blood test
498,83036,Hemoglobin A1C level,1,New Procedure,Glucose blood test
499,83036,Hemoglobin; glycosylated (A1C),2,New Procedure,Glucose blood test
500,83036,Hemoglobin; glycosylated (a1c),1,New Procedure,Glucose blood test
501,83516,Immunoassay Nonantibody,1,New Procedure,
502,83540,Iron,2,New Procedure,
503,83550,Iron binding capacity,2,New Procedure,
504,83615,Lactate Dehydrogenase Ldh,1,New Procedure,
505,83615,"Lactate dehydrogenase (LD), (LDH)",2,New Procedure,
506,83690,LIPASE,4,New Procedure,LIPASE
507,83690,Lipase,4,New Procedure,LIPASE
508,83692,Lipase,4,New Procedure,LIPASE
509,83735,Assay Of Magnesium,1,New Procedure,MAGNESIUM BLOOD
510,83735,MAGNESIUM,1,New Procedure,MAGNESIUM BLOOD
511,83735,MAGNESIUM BLOOD,2,New Procedure,MAGNESIUM BLOOD
512,83735,Magnesium,4,New Procedure,MAGNESIUM BLOOD
513,83880,B-TYP NATRIURETC PEPTIDE,1,New Procedure,
514,84100,PHOSPHORUS BLOOD,1,New Procedure,
515,84132,Potassium,1,New Procedure,
516,84295,Sodium,1,New Procedure,
517,84439,FREE THYROXINE,4,New Procedure,
518,84439,Free T4,1,New Procedure,
519,84439,Thyroxine; free,2,New Procedure,
520,84443,TSH,2,New Procedure,
521,84443,Thyroid Stimulating Hormone,292,New Procedure,
523,84450,AST/SGOT,1,New Procedure,
524,84478,Triglycerides,1,New Procedure,
525,84484,TROPONIN I,1,New Procedure,
526,84484,"Troponin, Quantitative",291,New Procedure,Troponin
527,84550,Uric acid; blood,2,New Procedure,
528,84703,GONA CHR(HCG)QL,1,New Procedure,Gonadotropin
529,84703,Gonadotropin (reproductive hormone) analysis,1,New Procedure,Gonadotropin
530,84703,"Gonadotropin, chorionic (hcg); qualitative",1,New Procedure,Gonadotropin
531,84703,PREGNANCY URINE TEST,1,New Procedure,Pregnancy Test
532,85007,DIFFERENTIAL MANUAL,1,New Procedure,
533,85025,Complete Blood Count with Differential,1,New Procedure,"Complete Blood Count, with differential WBC, automated"
534,85025,"Complete Blood Count, with differential WBC, automated",298,New Procedure,"Complete Blood Count, with differential WBC, automated"
535,85027,"Complete Blood Count, automated",287,New Procedure,"Complete Blood Count, with differential WBC, automated"
536,85027,"Hemogram &Platelet Count, auto",5,New Procedure,
537,85610,PROTIME (PT),1,New Procedure,
538,85610,Prothrombin Time,292,New Procedure,
540,85651,"Sedimentation rate, erythrocyte; non-automated",1,New Procedure,
541,85652,SED RATE RBC AUTO,1,New Procedure,
542,85730,APTT OR PTT,1,New Procedure,
543,85730,Partial Thromboplastin Time,289,New Procedure,Partial Thromboplastin
545,86780,"Analysis for antibody, Treponema pallidum",1,New Procedure,
546,86850,Rbc antibody screen,1,New Procedure,
547,86900,BLD TYPE ABO ONLY,1,New Procedure,
548,86900,Blood typing abo,1,New Procedure,
549,86901,Blood typing rh (d),1,New Procedure,
550,86922,Compatibility test antiglob,1,New Procedure,
551,87040,BLOOD CULTURE FOR BACTERIA,1,New Procedure,Blood Culture
552,87040,Blood Culture,1,New Procedure,Blood Culture
553,87040,Blood culture for bacteria,1,New Procedure,Blood Culture
554,87040,CULT BLD AER/AN,1,New Procedure,Blood Culture
555,87040,CULT-BLOOD,1,New Procedure,Blood Culture
556,87070,Culture Eye,1,New Procedure,
557,87081,BACTERIA CULTURE SCREEN,4,New Procedure,BACTERIA CULTURE
558,87081,"Culture, presumptive, pathogenic organisms, screening only",1,New Procedure,BACTERIA CULTURE
559,87086,BACT CULTURE-URINE; QUAN COUNT,1,New Procedure,Urinalysis
560,87086,Urine Culture,2,New Procedure,Urinalysis
561,87086,Urine Culturecolony Count,1,New Procedure,Urinalysis
562,87186,MICROBE SUSCEPTIBLE MIC,1,New Procedure,
563,87205,Smear - Gram Or Giemsa,2,New Procedure,
564,87340,Hepatitis B,1,New Procedure,Hepatitis B
565,87389,Detection test for HIV-1 and HIV-2,1,New Procedure,HIV Test
566,87591,N.GONORRHOEAE DNA AMP PROB,1,New Procedure,
567,90715,"TDAP Vaccing, ages 7+",1,New Procedure,
568,90791,Psychiatric Diagnostic Evaluation,1,New Procedure,Individual Therapy
569,90832,IDIVIDUAL THERAPY 30MIN,1,New Procedure,Individual Therapy
570,90832,PSYTX PT/FAMILY 30 MINUTES,1,New Procedure,FAMILY THERAPY
571,90834,IDIVIDUAL THERAPY 45MIN,1,New Procedure,Individual Therapy
572,90834,PSYCH TX W/PT/FAM 45 M - Psych OP,1,New Procedure,FAMILY THERAPY
573,90834,PSYTX PT/FAMILY 45 MINUTES,1,New Procedure,FAMILY THERAPY
574,90834,Psych/Indiv Extended,1,New Procedure,Individual Therapy
575,90834,"Psychotherapy, 45 minutes with patient",1,New Procedure,Individual Therapy
576,90835,Psych/Indiv Brief,1,New Procedure,Individual Therapy
577,90837,IDIVIDUAL THERAPY 60MIN,1,New Procedure,Individual Therapy
578,90846,FAMILY PSYTX W/O PATIENT,1,New Procedure,FAMILY THERAPY
579,90847,PSYCH FAMILY W/PATIENT -  Partial Hospitalization,1,New Procedure,FAMILY THERAPY
580,90847,Psych/Group Family,1,New Procedure,GROUP THERAPY
581,90849,PHP MULTIPLE FAMILY GRP,1,New Procedure,
582,90853,ADOLESC PHP FULL DAY,2,New Procedure,Physical Therapy
583,90853,ADOLESC PSYCH IOP,2,New Procedure,Individual Therapy
584,90853,ADULT PHP FULL DAY,2,New Procedure,Physical Therapy
585,90853,ADULT PSYCH IOP,2,New Procedure,Individual Therapy
586,90853,CD GROUP THER IOP,2,New Procedure,GROUP THERAPY
587,90853,GROUP PSYCHOTHERAPY,10,New Procedure,GROUP THERAPY
588,90853,GROUP THERAPY,2,New Procedure,GROUP THERAPY
589,90853,GROUP THERAPY  OPS  No longer use,1,New Procedure,GROUP THERAPY
590,90853,GROUP THERAPY 60MIN,2,New Procedure,GROUP THERAPY
591,90853,GROUP THERAPY IOP,2,New Procedure,GROUP THERAPY
592,90853,Group Psychotherapy,1,New Procedure,GROUP THERAPY
593,90853,Group Psychotherapy not Multi Family,1,New Procedure,GROUP THERAPY
594,90853,Group psychotherapy (other than of a multiple-family group),1,New Procedure,GROUP THERAPY
595,90853,PSYCH GROUP OTHER,1,New Procedure,GROUP THERAPY
596,90853,PSYCH GROUP PHP Partial Hospitalization,1,New Procedure,GROUP THERAPY
597,90853,PSYCHTX GRP 45 MIN,1,New Procedure,GROUP THERAPY
598,90853,Psych/Group Rx,1,New Procedure,GROUP THERAPY
599,90857,ADULT PARTIAL HOSPITAL,1,New Procedure,
600,90857,INTENSIVE OUTPT,1,New Procedure,
601,90857,INTENSIVE OUTPT - Group Therapy,1,New Procedure,GROUP THERAPY
602,90870,ECT TREATMENT,1,New Procedure,
603,90870,ELECTROCONVULSIVE THERAPY,1,New Procedure,Electroconvulsive therapy (includes necessary monitoring)
604,90870,Electroconvulsive therapy (includes necessary monitoring),1,New Procedure,Electroconvulsive therapy (includes necessary monitoring)
605,90899,PSYCHIATRIC SERVICE/THERAPY,1,New Procedure,Individual Therapy
606,91010,ESOPHAGUS MOTILITY STUDY,1,New Procedure,
607,91122,ANAL PRESSURE RECORD,1,New Procedure,
620,92015,Determination of refractive state,1,New Procedure,
621,92506,Speech Evaluation,1,New Procedure,Speech Language Treatment
622,92507,ST Tx SP/Lng/Vce/C,3,New Procedure,
623,92507,Speech Language Treatment,1,New Procedure,Speech Language Treatment
624,92523,ST Speech&Lang Eva,3,New Procedure,
625,92610,Swallow Evaluation,1,New Procedure,
626,92937,PRQ Revasc Bypass Graft Single Vessel,1,New Procedure,
627,93000,"Electrocardiogram, routine, with interpretation and report",231,New Procedure,Electrocardiogram
629,93005,ECG,4,New Procedure,Echocardiography
630,93005,ECG 12 Leads,2,New Procedure,Echocardiography
631,93005,ECG TRACING ONLY,1,New Procedure,Echocardiography
632,93005,EKG,2,New Procedure,Electrocardiogram
633,93005,"EKG , routine",1,New Procedure,Electrocardiogram
634,93005,EKG Complete,1,New Procedure,Electrocardiogram
635,93005,EKG TRACING ONLY,1,New Procedure,Electrocardiogram
636,93005,EKG tracing only / no interpretation,1,New Procedure,Electrocardiogram
637,93005,"ELECTROCARDIOGRAM, TRACING",1,New Procedure,Electrocardiogram
638,93005,Electrocardiogram 12 Lead Tracing Only,29,New Procedure,Electrocardiogram
639,93005,Electrocardiogram Tracing,2,New Procedure,Electrocardiogram
640,93005,Electrocardiogram Tracing only,1,New Procedure,Electrocardiogram
641,93005,Electrocardiogram tracing,1,New Procedure,Electrocardiogram
642,93005,"Electrocardiogram, 12 Lead, Tracing Only",1,New Procedure,Electrocardiogram
643,93005,"Electrocardiogram, routine, tracing only",1,New Procedure,Electrocardiogram
644,93005,"Electrocardiogram, routine, tracing only, w/o interpretation and report",4,New Procedure,Electrocardiogram
645,93005,"Electrocardiogram, routine, with at least 12 leads, tracing only",1,New Procedure,Electrocardiogram
646,93005,"Electrocardiogram, routine, with interpretation and report",231,New Procedure,Electrocardiogram
647,93005,"Electrocardiogram, routine; tracing only, w/o interpertation and report",1,New Procedure,Electrocardiogram
648,93005,"Electrocardiogram, tracing",1,New Procedure,Electrocardiogram
649,93005,HC 12 LEAD EG; TRACING ONLY,1,New Procedure,
650,93005,HC EKG TRACING ONLY,1,New Procedure,Electrocardiogram
651,93005,Pediatric EKG,1,New Procedure,
652,93010,"Electrocardiogram, routine, with at least 12 leads, interpretation and report only",1,New Procedure,Electrocardiogram
653,93017,CARDIOVASCULAR STRESS TEST,1,New Procedure,CARDIOVASCULAR STRESS TEST
654,93303,HC ECHO COMP CONGENITAL,1,New Procedure,Echocardiography
655,93306,2D Echo TTE  Complete,1,New Procedure,Echocardiography
656,93306,TT ECHO with Doppler Complete,1,New Procedure,Echocardiography
657,93306,TT ECHO with Doppler complete,1,New Procedure,Echocardiography
658,93306,TTE w/Doppler Complete,2,New Procedure,Echocardiography
659,93306,"TTE w/Doppler, Complete",1,New Procedure,Echocardiography
660,93307,ECHO DOPPLER,1,New Procedure,Echocardiography
661,93307,"Echocardiography, Transthoracic, complete",66,New Procedure,Echocardiography
662,93307,"Echocardiography, Transthoracic, complete, without Doppler",116,New Procedure,Echocardiography
663,93307,"Echocardiography, complete",86,New Procedure,Echocardiography
664,93307,"Echocardiography, complete without contrast",1,New Procedure,Echocardiography
665,93312,CA ECHO TRANS,1,New Procedure,Echocardiography
666,93320,Cardiac Doppler,1,New Procedure,
667,93325,Color Flow Imaging,1,New Procedure,
668,93325,DOPPLER VENOUS U/S,1,New Procedure,
669,93350,CA ECHO 2D W,1,New Procedure,Echocardiography
670,93350,STRESS TTE ONLY,1,New Procedure,
671,93451,"Cardiac Catheterization, right heart",1,New Procedure,
672,93452,"Cardiac Catheterization, Left Heart, percutaneous",242,New Procedure,
673,93453,HC R&LHC W LV GRAM,1,New Procedure,
674,93454,CORONARY ARTERY ANGIO SI,1,New Procedure,CT Angiogram
675,93458,"Cardiac Catheterization, Left Heart, percutaneous",242,New Procedure,
676,93458,L HRT ARTERY/VENTRICLE ANGIO,2,New Procedure,CT Angiogram
677,93458,L HRT Artery/Ventricle Angio,1,New Procedure,CT Angiogram
678,93505,BIOPSY OF HEART LINING,1,New Procedure,BIOPSY
679,93798,Cardiac Rehabilitation with Continuous EKG Monitoring,1,New Procedure,
680,94010,Spirometry,1,New Procedure,
683,94640,AEROSOL TREATMENT SINGLE,1,New Procedure,
684,94640,"Inhalation Treatment, pressurized or nonpressurized",280,New Procedure,"Inhalation Treatment, pressurized or nonpressurized"
685,94640,"Inhalation Treatment, pressurized or nonpressurized (subsequent)",1,New Procedure,"Inhalation Treatment, pressurized or nonpressurized"
686,94644,"HAND HELD NEB CONTINUOUS,1st",1,New Procedure,
687,94660,CPAP INITIATION AND MGMNT,1,New Procedure,
688,94664,M D Inhaler Initial,1,New Procedure,
690,94760,NONINVASV OXYGEN SATUR;SINGLE,4,New Procedure,
691,94760,PULSE OX SINGLE DETERMINATION,1,New Procedure,
692,94772,Apnea Monitor Initial Charge,1,New Procedure,Apnea Monitor Initial Charge
704,95812,EEG,1,New Procedure,
730,96152,"Health and Behavior Intervention, each 15 min",1,New Procedure,Individual Therapy
731,96361,IV HYD ADD HR,1,New Procedure,
732,96361,IV HYDRATION EA ADD HR,4,New Procedure,
733,96361,"IV Infusion, Hydration add-on",1,New Procedure,
734,96372,ED INJECTION SQ/IM,1,New Procedure,
735,96372,ER O/P THER INJ,1,New Procedure,
736,96372,ER THER/PRO/DX INJ SQ/IM,1,New Procedure,
737,96372,"IM, SQ, SC INJECT",1,New Procedure,
738,96372,"THER/PROPH/DIAG INJ, SC/IM",1,New Procedure,
739,96372,THERAPEUTIC/PRO/DX INJ SQ/IM,1,New Procedure,
740,96372,"Therapeutic Injection, Subcutaneous or Intramuscular",1,New Procedure,
741,96374,ED INJ IVP SNGL/INTL,1,New Procedure,
742,96374,ER THERAPYPRO//DX IV PUSH INI,1,New Procedure,Electroconvulsive therapy (includes necessary monitoring)
743,96374,INJ T/P/D IVP,1,New Procedure,
744,96374,INJ THER/PROPH IV,1,New Procedure,
745,96374,"IV Push, Single or Initial Drug",1,New Procedure,
746,96375,ED INJ IVP ADD SEQ NEW,1,New Procedure,
747,96375,ER THERAPYPRO//DX IV PUSH ADD,1,New Procedure,Electroconvulsive therapy (includes necessary monitoring)
748,96375,INJ ADD SEQ IVP,1,New Procedure,
749,96375,"IV Push, Additional New Drug",1,New Procedure,
750,96375,TX/PR/DX IV PUSH ADDL SEQ NEW,1,New Procedure,
751,97001,"Physical Therapy, Evaluation",245,New Procedure,Physical Therapy
752,97035,Ultrasound 15 min OT,1,New Procedure,Ultrasound
753,97110,OT Thera Ex Ea 15,3,New Procedure,
754,97110,PT THER EXERCISE EA 15MIN,1,New Procedure,Physical Therapy
755,97110,"Physical Therapy, Therapeutic Exercise",259,New Procedure,Physical Therapy
756,97110,Therapeutic Exercise Each 15 Minutes,1,New Procedure,
